text_id,GPEs,neg,neu,pos,compound
557,,0.0,0.788,0.212,0.2846
564,,0.0,1.0,0.0,0.0
565,,0.0,0.748,0.252,0.4019
566,['DC'],0.0,1.0,0.0,0.0
568,['Hungary'],0.29,0.71,0.0,-0.6924
570,,0.0,1.0,0.0,0.0
571,['US'],0.353,0.647,0.0,-0.5994
574,,0.0,1.0,0.0,0.0
577,['Flint'],0.255,0.745,0.0,-0.6249
579,,0.231,0.769,0.0,-0.3412
582,,0.0,1.0,0.0,0.0
584,,0.231,0.769,0.0,-0.4019
586,['Kasich'],0.0,1.0,0.0,0.0
589,,0.475,0.36,0.165,-0.6486
590,,0.181,0.819,0.0,-0.2484
591,,0.0,0.654,0.346,0.5719
595,,0.0,1.0,0.0,0.0
597,"['United States', 'Texas']",0.0,0.797,0.203,0.4215
602,,0.452,0.548,0.0,-0.5106
605,['Yemen'],0.0,1.0,0.0,0.0
606,,0.0,1.0,0.0,0.0
607,['Chicago'],0.462,0.538,0.0,-0.5106
609,,0.231,0.769,0.0,-0.2732
610,['Iran'],0.23,0.77,0.0,-0.4005
614,,0.0,0.617,0.383,0.4767
617,,0.312,0.688,0.0,-0.6124
618,,0.0,1.0,0.0,0.0
619,['U.S.'],0.0,1.0,0.0,0.0
620,,0.0,1.0,0.0,0.0
622,,0.185,0.298,0.518,0.6808
624,,0.0,0.696,0.304,0.2924
628,,0.23,0.531,0.239,0.0258
630,,0.0,0.723,0.277,0.3182
633,,0.0,0.698,0.302,0.5994
634,,0.381,0.619,0.0,-0.6486
636,,0.0,0.755,0.245,0.3818
637,['California'],0.351,0.649,0.0,-0.4019
641,,0.532,0.355,0.113,-0.7845
642,,0.143,0.857,0.0,-0.25
643,,0.179,0.821,0.0,-0.34
647,,0.0,1.0,0.0,0.0
650,,0.189,0.811,0.0,-0.1027
654,,0.318,0.682,0.0,-0.5768
655,['Cuba'],0.0,1.0,0.0,0.0
656,,0.429,0.571,0.0,-0.6705
657,,0.216,0.784,0.0,-0.296
660,,0.336,0.545,0.119,-0.6573
661,"['Afghanistan', 'U.S.']",0.459,0.541,0.0,-0.7783
663,,0.0,0.804,0.196,0.5994
664,,0.0,1.0,0.0,0.0
665,,0.0,1.0,0.0,0.0
667,,0.0,1.0,0.0,0.0
669,,0.0,1.0,0.0,0.0
670,,0.0,0.878,0.122,0.3612
675,,0.077,0.773,0.149,0.3182
676,,0.0,1.0,0.0,0.0
678,,0.0,1.0,0.0,0.0
679,['Israel'],0.0,1.0,0.0,0.0
684,,0.0,0.787,0.213,0.5859
685,,0.0,1.0,0.0,0.0
686,,0.372,0.628,0.0,-0.7964
687,,0.0,1.0,0.0,0.0
688,,0.0,1.0,0.0,0.0
691,,0.244,0.756,0.0,-0.6369
692,,0.0,1.0,0.0,0.0
695,['Us'],0.278,0.588,0.134,-0.4015
696,['New York'],0.384,0.616,0.0,-0.6808
701,,0.306,0.694,0.0,-0.296
705,,0.0,1.0,0.0,0.0
707,"['US', 'Yemen']",0.259,0.576,0.165,-0.0772
708,,0.403,0.597,0.0,-0.4019
709,['Washington'],0.0,1.0,0.0,0.0
710,['Baltimore'],0.0,1.0,0.0,0.0
712,,0.0,1.0,0.0,0.0
713,,0.0,0.577,0.423,0.765
716,,0.639,0.361,0.0,-0.891
717,['Oklahoma'],0.333,0.667,0.0,-0.6124
718,,0.384,0.452,0.164,-0.5994
719,['D.C.'],0.0,1.0,0.0,0.0
722,,0.0,0.286,0.714,0.8176
729,['Israel'],0.3,0.467,0.233,-0.4588
731,,0.0,1.0,0.0,0.0
732,,0.302,0.698,0.0,-0.3818
735,,0.0,1.0,0.0,0.0
737,['Paris'],0.0,1.0,0.0,0.0
738,,0.119,0.881,0.0,-0.1901
740,,0.161,0.632,0.207,0.2023
742,,0.0,1.0,0.0,0.0
747,,0.0,0.723,0.277,0.3182
750,"['Iran', 'Israel']",0.333,0.667,0.0,-0.4588
753,['Brussels'],0.0,0.714,0.286,0.4939
755,,0.0,0.73,0.27,0.5719
758,,0.0,1.0,0.0,0.0
759,,0.0,1.0,0.0,0.0
760,,0.0,1.0,0.0,0.0
761,['Baltimore'],0.191,0.809,0.0,-0.5106
765,,0.0,0.769,0.231,0.4019
766,,0.0,0.443,0.557,0.7424
770,,0.0,1.0,0.0,0.0
773,,0.0,0.667,0.333,0.3612
774,"['Greece', 'Iran']",0.0,1.0,0.0,0.0
776,,0.0,0.776,0.224,0.3818
780,['U.S.'],0.557,0.443,0.0,-0.6476
781,,0.0,0.68,0.32,0.5106
786,,0.0,1.0,0.0,0.0
787,,0.0,1.0,0.0,0.0
789,,0.22,0.78,0.0,-0.4767
792,['Ethiopia'],0.208,0.792,0.0,-0.2732
794,,0.474,0.526,0.0,-0.5574
798,,0.147,0.853,0.0,-0.2263
800,['Kentucky'],0.313,0.687,0.0,-0.6249
806,,0.342,0.658,0.0,-0.3818
809,,0.0,0.543,0.457,0.7096
810,,0.0,1.0,0.0,0.0
811,,0.509,0.491,0.0,-0.4847
814,,0.257,0.743,0.0,-0.5859
815,"['Jamaica', 'Cuba']",0.295,0.705,0.0,-0.6808
820,,0.0,1.0,0.0,0.0
822,,0.114,0.619,0.267,0.4939
825,,0.211,0.621,0.168,-0.1779
826,,0.231,0.769,0.0,-0.5994
828,,0.471,0.529,0.0,-0.8402
829,,0.143,0.857,0.0,-0.128
830,,0.0,1.0,0.0,0.0
835,,0.0,1.0,0.0,0.0
838,,0.0,1.0,0.0,0.0
840,,0.0,1.0,0.0,0.0
843,['Nevada'],0.0,1.0,0.0,0.0
850,,0.0,0.847,0.153,0.2023
852,,0.0,1.0,0.0,0.0
854,,0.218,0.67,0.112,-0.4404
856,,0.0,1.0,0.0,0.0
858,,0.0,1.0,0.0,0.0
859,,0.389,0.611,0.0,-0.7479
860,,0.0,1.0,0.0,0.0
864,"['US', 'Iran']",0.0,1.0,0.0,0.0
865,,0.315,0.462,0.223,-0.0516
866,,0.291,0.709,0.0,-0.5719
868,['San Bernardino'],0.316,0.684,0.0,-0.5719
869,"['Iran', 'Israel']",0.0,0.886,0.114,0.2023
870,,0.361,0.639,0.0,-0.5256
872,,0.0,1.0,0.0,0.0
875,,0.0,1.0,0.0,0.0
877,,0.22,0.78,0.0,-0.4767
879,,0.0,1.0,0.0,0.0
880,,0.0,1.0,0.0,0.0
883,['Vlad'],0.0,1.0,0.0,0.0
886,['Cuba'],0.124,0.876,0.0,-0.34
888,['Iraq'],0.31,0.69,0.0,-0.4019
890,"['Paris', 'US']",0.333,0.667,0.0,-0.6705
892,,0.0,0.891,0.109,0.0258
895,['Baltimore'],0.0,1.0,0.0,0.0
897,['Iowa'],0.0,1.0,0.0,0.0
898,['U.S.'],0.44,0.56,0.0,-0.6705
902,,0.0,1.0,0.0,0.0
903,,0.0,0.66,0.34,0.5574
904,['Iowa'],0.0,0.703,0.297,0.5859
906,,0.153,0.847,0.0,-0.5023
909,,0.0,1.0,0.0,0.0
910,,0.0,1.0,0.0,0.0
911,['Kenya'],0.146,0.854,0.0,-0.34
913,,0.0,0.577,0.423,0.6808
914,,0.0,1.0,0.0,0.0
916,,0.205,0.795,0.0,-0.6269
917,,0.256,0.744,0.0,-0.4767
918,['Indiana'],0.0,0.595,0.405,0.5267
919,['Palin'],0.16,0.494,0.346,0.4588
921,,0.0,1.0,0.0,0.0
923,,0.268,0.732,0.0,-0.296
924,,0.189,0.63,0.181,-0.0258
925,,0.0,1.0,0.0,0.0
926,['Indiana'],0.0,1.0,0.0,0.0
927,,0.36,0.508,0.132,-0.6705
932,,0.0,1.0,0.0,0.0
933,,0.254,0.746,0.0,-0.1779
934,"['Russia', 'Syria', 'Turkey']",0.0,1.0,0.0,0.0
936,['New Hampshire'],0.0,1.0,0.0,0.0
940,,0.0,1.0,0.0,0.0
942,,0.0,1.0,0.0,0.0
943,,0.0,1.0,0.0,0.0
944,,0.196,0.804,0.0,-0.296
945,,0.332,0.535,0.134,-0.5719
948,['Kenya'],0.684,0.316,0.0,-0.8957
950,,0.481,0.519,0.0,-0.7579
951,['Iraq'],0.619,0.381,0.0,-0.7579
952,['Hiroshima'],0.223,0.615,0.162,-0.2732
954,['U.S.'],0.324,0.676,0.0,-0.34
955,['Iran'],0.0,1.0,0.0,0.0
957,,0.0,0.726,0.274,0.5267
958,,0.0,0.686,0.314,0.4939
961,,0.0,1.0,0.0,0.0
962,,0.134,0.866,0.0,-0.1779
963,,0.261,0.672,0.067,-0.7351
965,,0.113,0.887,0.0,-0.3182
970,,0.216,0.784,0.0,-0.296
971,,0.0,1.0,0.0,0.0
972,,0.355,0.645,0.0,-0.6705
976,,0.0,1.0,0.0,0.0
977,,0.491,0.509,0.0,-0.891
982,,0.397,0.603,0.0,-0.6808
985,,0.0,1.0,0.0,0.0
987,,0.524,0.476,0.0,-0.6705
988,,0.0,1.0,0.0,0.0
989,['New York'],0.0,0.755,0.245,0.3818
992,['Iran'],0.218,0.782,0.0,-0.5994
993,,0.182,0.818,0.0,-0.4404
999,,0.348,0.652,0.0,-0.5859
1003,['Selma'],0.174,0.659,0.168,-0.0258
1004,,0.0,1.0,0.0,0.0
1005,['Eleven States'],0.0,1.0,0.0,0.0
1007,"['US', 'US']",0.222,0.598,0.179,0.0905
1008,,0.0,0.755,0.245,0.5994
1009,,0.514,0.226,0.26,-0.7579
1013,,0.0,1.0,0.0,0.0
1015,,0.191,0.446,0.363,0.4005
1018,['Canada'],0.191,0.809,0.0,-0.3818
1021,,0.0,1.0,0.0,0.0
1025,,0.0,0.739,0.261,0.5574
1026,['Iran'],0.0,1.0,0.0,0.0
1027,,0.231,0.769,0.0,-0.34
1028,['Iran'],0.271,0.729,0.0,-0.3818
1029,['Ohio'],0.0,0.583,0.417,0.6124
1030,,0.459,0.541,0.0,-0.7003
1031,"['Cuba', 'America']",0.286,0.714,0.0,-0.6597
1034,,0.0,1.0,0.0,0.0
1035,['Iran'],0.0,1.0,0.0,0.0
1039,,0.239,0.761,0.0,-0.296
1040,"['U.S.', 'Iraq']",0.248,0.661,0.091,-0.4404
1045,,0.216,0.373,0.41,0.3818
1046,['Hungary'],0.298,0.702,0.0,-0.34
1047,,0.394,0.606,0.0,-0.3818
1050,,0.296,0.704,0.0,-0.2732
1053,,0.0,0.283,0.717,0.765
1055,,0.126,0.874,0.0,-0.1139
1056,['Iran'],0.0,0.639,0.361,0.6858
1057,"['South Carolina', 'Nevada']",0.0,1.0,0.0,0.0
1058,,0.197,0.803,0.0,-0.4019
1062,,0.0,1.0,0.0,0.0
1064,,0.0,1.0,0.0,0.0
1065,,0.0,1.0,0.0,0.0
1066,,0.0,1.0,0.0,0.0
1067,,0.0,0.714,0.286,0.25
1069,,0.0,1.0,0.0,0.0
1070,,0.0,0.869,0.131,0.3089
1071,['U.S.'],0.425,0.411,0.164,-0.5859
1072,,0.286,0.714,0.0,-0.4215
1073,,0.0,0.491,0.509,0.6428
1075,['America'],0.0,1.0,0.0,0.0
1076,,0.0,1.0,0.0,0.0
1077,['Kasich'],0.353,0.647,0.0,-0.5994
1081,,0.487,0.513,0.0,-0.6908
1084,['N.H.'],0.161,0.839,0.0,-0.3182
1086,,0.0,1.0,0.0,0.0
1089,,0.348,0.57,0.082,-0.6369
1090,,0.0,0.698,0.302,0.5994
1092,['Russia'],0.348,0.652,0.0,-0.4939
1093,,0.0,1.0,0.0,0.0
1097,,0.408,0.592,0.0,-0.7351
1098,,0.0,1.0,0.0,0.0
1100,['Iowa'],0.0,0.709,0.291,0.5719
1103,,0.0,1.0,0.0,0.0
1104,,0.196,0.804,0.0,-0.0572
1106,,0.219,0.781,0.0,-0.4215
1108,,0.211,0.789,0.0,-0.34
1109,,0.0,0.795,0.205,0.5574
1110,,0.0,1.0,0.0,0.0
1112,,0.167,0.833,0.0,-0.3818
1117,,0.431,0.569,0.0,-0.6486
1119,,0.0,1.0,0.0,0.0
1123,,0.206,0.794,0.0,-0.3818
1126,,0.13,0.87,0.0,-0.128
1128,,0.358,0.642,0.0,-0.5994
1129,,0.231,0.769,0.0,-0.4019
1132,['Chicago'],0.0,1.0,0.0,0.0
1133,['US'],0.237,0.763,0.0,-0.4767
1134,,0.333,0.455,0.212,-0.1531
1135,,0.0,0.698,0.302,0.3804
1136,,0.383,0.617,0.0,-0.4767
1137,['U.S.'],0.4,0.6,0.0,-0.7184
1140,,0.0,0.839,0.161,0.3182
1143,['Alabama'],0.167,0.833,0.0,-0.0516
1144,,0.0,1.0,0.0,0.0
1146,,0.0,1.0,0.0,0.0
1148,,0.444,0.556,0.0,-0.7506
1150,,0.343,0.657,0.0,-0.6908
1153,,0.0,1.0,0.0,0.0
1154,['Charleston'],0.353,0.647,0.0,-0.5994
1155,['Syria'],0.471,0.529,0.0,-0.836
1160,,0.503,0.405,0.092,-0.7269
1163,,0.0,1.0,0.0,0.0
1165,,0.0,1.0,0.0,0.0
1167,,0.0,1.0,0.0,0.0
1168,,0.211,0.789,0.0,-0.1531
1170,,0.149,0.851,0.0,-0.2732
1172,,0.14,0.581,0.279,0.34
1173,,0.0,0.84,0.16,0.2732
1175,['California'],0.0,0.756,0.244,0.4404
1178,,0.0,0.738,0.262,0.4939
1180,,0.0,0.616,0.384,0.6808
1181,,0.252,0.748,0.0,-0.4019
1182,['US'],0.16,0.84,0.0,-0.2263
1185,,0.344,0.584,0.071,-0.6369
1186,,0.0,0.606,0.394,0.7579
1187,,0.293,0.707,0.0,-0.6597
1189,,0.0,1.0,0.0,0.0
1190,,0.0,1.0,0.0,0.0
1192,"['Iowa', 'New Hampshire']",0.0,1.0,0.0,0.0
1194,,0.316,0.684,0.0,-0.5719
1195,['Cuba'],0.0,0.625,0.375,0.3818
1196,,0.0,1.0,0.0,0.0
1200,['Wisconsin'],0.2,0.8,0.0,-0.3612
1202,['California'],0.231,0.769,0.0,-0.2023
1204,,0.0,1.0,0.0,0.0
1208,,0.0,1.0,0.0,0.0
1211,,0.105,0.663,0.232,0.3182
1215,['Kentucky'],0.0,0.839,0.161,0.3612
1216,,0.262,0.738,0.0,-0.4939
1218,,0.0,0.658,0.342,0.3818
1219,,0.0,1.0,0.0,0.0
1221,,0.0,1.0,0.0,0.0
1222,['Kasich'],0.0,0.49,0.51,0.6369
1224,,0.0,1.0,0.0,0.0
1231,"['Rubio', 'Cuba']",0.0,1.0,0.0,0.0
1232,,0.0,1.0,0.0,0.0
1233,['Boston'],0.0,0.801,0.199,0.1877
1235,,0.0,1.0,0.0,0.0
1236,,0.0,0.714,0.286,0.5574
1237,"[""Saudi Arabia's"", 'US']",0.0,1.0,0.0,0.0
1240,,0.0,1.0,0.0,0.0
1242,,0.301,0.699,0.0,-0.7845
1243,,0.0,1.0,0.0,0.0
1245,,0.0,1.0,0.0,0.0
1246,['Philadelphia'],0.276,0.724,0.0,-0.6369
1248,['San Bernardino'],0.35,0.65,0.0,-0.6486
1252,,0.0,1.0,0.0,0.0
1254,,0.0,1.0,0.0,0.0
1259,,0.0,1.0,0.0,0.0
1260,,0.0,0.758,0.242,0.4939
1263,,0.112,0.733,0.155,0.2516
1266,['Moscow'],0.0,1.0,0.0,0.0
1267,,0.194,0.806,0.0,-0.34
1270,,0.0,1.0,0.0,0.0
